"Name","PackageFullName","DisplayName","DisplayVersion","Publisher","InstallDate","IsFramework","IsResourcePackage","InstallLocation","UserSid"
"Microsoft.OfficePushNotificationUtility","Microsoft.OfficePushNotificationUtility_16.0.19426.20186_neutral__8wekyb3d8bbwe","Microsoft.OfficePushNotificationUtility","16.0.19426.20186","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.OfficePushNotificationUtility_16.0.19426.20186_neutral__8wekyb3d8bbwe",
"Microsoft.OneDriveSync","Microsoft.OneDriveSync_25222.1112.2.0_neutral__8wekyb3d8bbwe","Microsoft.OneDriveSync","25222.1112.2.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.OneDriveSync_25222.1112.2.0_neutral__8wekyb3d8bbwe",
"Microsoft.OutlookForWindows","Microsoft.OutlookForWindows_1.2025.818.302_x64__8wekyb3d8bbwe","Microsoft.OutlookForWindows","1.2025.818.302","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.OutlookForWindows_1.2025.818.302_x64__8wekyb3d8bbwe",
"Microsoft.Paint","Microsoft.Paint_11.2510.311.0_x64__8wekyb3d8bbwe","Microsoft.Paint","11.2510.311.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.Paint_11.2510.311.0_x64__8wekyb3d8bbwe",
"Microsoft.People","Microsoft.People_10.2202.100.0_x64__8wekyb3d8bbwe","Microsoft.People","10.2202.100.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.People_10.2202.100.0_x64__8wekyb3d8bbwe",
"Microsoft.PowerAutomateDesktop","Microsoft.PowerAutomateDesktop_11.2511.178.0_x64__8wekyb3d8bbwe","Microsoft.PowerAutomateDesktop","11.2511.178.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.PowerAutomateDesktop_11.2511.178.0_x64__8wekyb3d8bbwe",
"Microsoft.PPIProjection","Microsoft.PPIProjection_10.0.26100.1_neutral_neutral_cw5n1h2txyewy","Microsoft.PPIProjection","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Windows\SystemApps\Microsoft.PPIProjection_cw5n1h2txyewy",
"Microsoft.RawImageExtension","Microsoft.RawImageExtension_2.5.7.0_x64__8wekyb3d8bbwe","Microsoft.RawImageExtension","2.5.7.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.RawImageExtension_2.5.7.0_x64__8wekyb3d8bbwe",
"Microsoft.ScreenSketch","Microsoft.ScreenSketch_11.2510.31.0_x64__8wekyb3d8bbwe","Microsoft.ScreenSketch","11.2510.31.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2510.31.0_x64__8wekyb3d8bbwe",
"Microsoft.SecHealthUI","Microsoft.SecHealthUI_1000.29429.1000.0_x64__8wekyb3d8bbwe","Microsoft.SecHealthUI","1000.29429.1000.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.SecHealthUI_1000.29429.1000.0_x64__8wekyb3d8bbwe",
